dimers,qmc_mp2,qmc_mp2_uncertainty,qmc_cc,qm_cc_uncertainty,qmc_tz/qz,qm_tz/qz_uncertainty
Sc-H,55.9,0.3,54.7,0.3,53.11,0.73
Ti-H,48.4,1,47.9,0.9,,
V-H,53.6,1.1,,,,
Cr-H,54.8,0.5,51,0.4,,
Mn-H,41.7,1.9,39.4,1.2,,
Fe-H,42.7,1.7,41.7,1.7,,
Co-H,57.5,1,55.2,1,53.09,1.33
Ni-H,71.4,1.3,66.5,1.1,60.76,1.76
Cu-H,64.6,0.8,63.2,0.8,,
Zn-H,21.2,1.2,20.2,0.9,,
Ti-Cl,99.8,1.6,100.1,1.6,,
V-Cl,98.5,1.7,99.3,1.7,,
Cr-Cl,89.4,2.3,85.9,2,89.34,2.72
Mn-Cl,80.5,2,82.2,3.4,,
Fe-Cl,79.6,2,81.5,2.8,,
Co-Cl,80.1,1.3,81.8,1.3,,
Ni-Cl,91.3,1.9,93.5,2.1,86.88,2.54
Cu-Cl,89.5,1.7,89.4,1.7,,
Zn-Cl,52.9,2.4,53.6,3.3,,
Sc-O,163.5,0.6,163.4,0.6,,
Ti-O,161.1,0.7,161,0.7,,
V-O,152.2,1.1,152.2,1.1,,
Cr-O,108.4,1,105.4,1,110.08,1.28
Mn-O,89.9,1.2,89.9,1.2,,
Fe-O,98.1,1.2,98.3,1.2,,
Co-O,93.7,1,94.2,1,96.46,2.25
Ni-O,95.9,1.7,95.1,1.7,92.95,2.55
Cu-O,67,0.7,65.5,0.7,69.39,2.4
Zn-O,36.1,1.1,35.9,1.1,,
